Accession,Species,Sequence_Type,Nuc_Completeness,Geo_Location,USA,Host,Collection_Date
KR265785,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2014-03-13
KR265786,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2014-03-14
KR265787,Porcine epidemic diarrhea virus,GenBank,complete,USA: South Dakota,SD,Sus scrofa,2014-04-02
KR265788,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-04-08
KR265789,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2014-04-16
KR265790,Porcine epidemic diarrhea virus,GenBank,complete,USA: Texas,TX,Sus scrofa,2014-10-14
KR265791,Porcine epidemic diarrhea virus,GenBank,complete,USA: Kentucky,KY,Sus scrofa,2014-01-29
KR265792,Porcine epidemic diarrhea virus,GenBank,complete,USA: Oklahoma,OK,Sus scrofa,2014-09-26
KR265793,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-02-13
KR265794,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-03-04
KR265795,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2014-03-07
KR265796,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2014-03-19
KR265797,Porcine epidemic diarrhea virus,GenBank,complete,USA: Kansas,KS,Sus scrofa,2014-03-27
KR265798,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-04-02
KR265799,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-02-12
KR265800,Porcine epidemic diarrhea virus,GenBank,complete,USA: Indiana,IN,Sus scrofa,2014-03-04
KR265801,Porcine epidemic diarrhea virus,GenBank,complete,USA: Indiana,IN,Sus scrofa,2014-03-12
KR265802,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2014-03-14
KR265803,Porcine epidemic diarrhea virus,GenBank,complete,USA: Nebraska,NE,Sus scrofa,2014-04-02
KR265804,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2014-05-14
KR265805,Porcine epidemic diarrhea virus,GenBank,complete,USA: Iowa,IA,Sus scrofa,2014-02-17
KR265806,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-04-07
KR265807,Porcine epidemic diarrhea virus,GenBank,complete,USA: Michigan,MI,Sus scrofa,2014-02-17
KR265808,Porcine epidemic diarrhea virus,GenBank,complete,USA: Iowa,IA,Sus scrofa,2014-02-17
KR265809,Porcine epidemic diarrhea virus,GenBank,complete,USA: Nebraska,NE,Sus scrofa,2014-03-25
KR265810,Porcine epidemic diarrhea virus,GenBank,complete,USA: Oklahoma,OK,Sus scrofa,2014-04-24
KR265811,Porcine epidemic diarrhea virus,GenBank,complete,USA: South Dakota,SD,Sus scrofa,2014-04-30
KR265812,Porcine epidemic diarrhea virus,GenBank,complete,USA: Colorado,CO,Sus scrofa,2014-09-30
KR265813,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-02-20
KR265814,Porcine epidemic diarrhea virus,GenBank,complete,USA: Kansas,KS,Sus scrofa,2014-02-28
KR265815,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2014-03-03
KR265816,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-03-10
KR265817,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2014-03-11
KR265818,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-04-03
KR265819,Porcine epidemic diarrhea virus,GenBank,complete,USA: Kansas,KS,Sus scrofa,2014-10-30
KR265820,Porcine epidemic diarrhea virus,GenBank,complete,USA: Missouri,MO,Sus scrofa,2014-05-07
KR265821,Porcine epidemic diarrhea virus,GenBank,complete,USA: Missouri,MO,Sus scrofa,2014-02-26
KR265822,Porcine epidemic diarrhea virus,GenBank,complete,USA: Michigan,MI,Sus scrofa,2014-03-04
KR265823,Porcine epidemic diarrhea virus,GenBank,complete,USA: Colorado,CO,Sus scrofa,2014-03-11
KR265824,Porcine epidemic diarrhea virus,GenBank,complete,USA: Oklahoma,OK,Sus scrofa,2014-12-04
KR265825,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-03-05
KR265826,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2014-03-13
KR265827,Porcine epidemic diarrhea virus,GenBank,complete,USA: Iowa,IA,Sus scrofa,2014-04-07
KR265828,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-03-24
KR265829,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-04-17
KR265830,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2014-04-03
KR265831,Porcine epidemic diarrhea virus,GenBank,complete,Canada: Quebec,,Sus scrofa,2014-05-14
KR265832,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-06-10
KR265833,Porcine epidemic diarrhea virus,GenBank,complete,USA: Oklahoma,OK,Sus scrofa,2014-12-12
KR265834,Porcine epidemic diarrhea virus,GenBank,complete,USA: Texas,TX,Sus scrofa,2014-11-18
KR265840,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2014-01-22
KR265841,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-08-28
KR265842,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-08-28
KR265843,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-05-23
KR265844,Porcine epidemic diarrhea virus,GenBank,complete,USA: Missouri,MO,Sus scrofa,2014-05-30
KR265845,Porcine epidemic diarrhea virus,GenBank,complete,USA: Oklahoma,OK,Sus scrofa,2014-12-04
KR265846,Porcine epidemic diarrhea virus,GenBank,complete,USA: Missouri,MO,Sus scrofa,2014-02-18
KU297956,Porcine epidemic diarrhea virus,GenBank,complete,Slovenia,,Sus scrofa,2015-09-03
KT323979,Porcine epidemic diarrhea virus,GenBank,complete,China,,,1998
KT323980,Porcine epidemic diarrhea virus,GenBank,complete,China,,,2014-09-11
KR061458,Porcine epidemic diarrhea virus,GenBank,complete,Italy,,Sus scrofa,2009-01-14
KR061459,Alphacoronavirus 1,GenBank,complete,Italy,,Sus scrofa,2009-09-04
KT941120,Porcine epidemic diarrhea virus,GenBank,complete,Viet Nam: Hung Yen,,Sus scrofa,2014-10-15
LC063810,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Aomori,,Sus scrofa domesticus,2014-02
LC063811,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Fukuoka,,Sus scrofa domesticus,2014-03
LC063812,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Ehime,,Sus scrofa domesticus,2014-04
LC063813,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Iwate,,Sus scrofa domesticus,2014-04
LC063814,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Kagoshima,,Sus scrofa domesticus,2013-12
LC063815,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Kagoshima,,Sus scrofa domesticus,2013-12
LC063816,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Okinawa,,Sus scrofa domesticus,2014-02
LC063817,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Kumamoto,,Sus scrofa domesticus,2014-01
LC063818,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Kumamoto,,Sus scrofa domesticus,2014-01
LC063819,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Ibaraki,,Sus scrofa domesticus,2014-04
LC063820,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Ibaraki,,Sus scrofa domesticus,2013-11
LC063821,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Ibaraki,,Sus scrofa domesticus,2013-11
LC063822,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Tottori,,Sus scrofa domesticus,2014-03
LC063823,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Gunma,,Sus scrofa domesticus,2014-04
LC063824,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Kagawa,,Sus scrofa domesticus,2014-04
LC063825,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Hiroshima,,Sus scrofa domesticus,2014-05
LC063826,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Kagoshima,,Sus scrofa domesticus,2014-04
LC063827,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Mie,,Sus scrofa domesticus,2014-03
LC063828,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Tottori,,Sus scrofa domesticus,2014-10
LC063829,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Gunma,,Sus scrofa domesticus,2014-04
LC063830,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Niigata,,Sus scrofa domesticus,2014-04
LC063831,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Ibaraki,,Sus scrofa domesticus,2014-05
LC063832,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Ibaraki,,Sus scrofa domesticus,2014-05
LC063833,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Aomori,,Sus scrofa domesticus,2014-04
LC063834,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Iwate,,Sus scrofa domesticus,2014-04
LC063835,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Iwate,,Sus scrofa domesticus,2014-04
LC063836,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Okinawa,,Sus scrofa domesticus,2013-10
LC063837,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Aomori,,Sus scrofa domesticus,2014-04
LC063838,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Miyagi,,Sus scrofa domesticus,2014-07
LC063839,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Iwate,,Sus scrofa domesticus,2014-04
LC063840,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Niigata,,Sus scrofa domesticus,2014-04
LC063841,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Ibaraki,,Sus scrofa domesticus,2014-04
LC063842,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Ibaraki,,Sus scrofa domesticus,2014-04
LC063843,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Ibaraki,,Sus scrofa domesticus,2014-05
LC063844,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Kochi,,Sus scrofa domesticus,2014-03
LC063845,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Kochi,,Sus scrofa domesticus,2014-03
LC063846,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Miyazaki,,Sus scrofa domesticus,2013-12
LC063847,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Okayama,,Sus scrofa domesticus,2014-03
KT021227,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-08-02
KT021228,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-10-05
KT021229,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-11-08
KT021230,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-02-05
KT021231,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-05-10
KT021232,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-08-08
KT021233,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-11-11
KR818832,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-02
KR818833,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,
KR095279,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2015-01-27
KP890336,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-12
KP849472,Alphacoronavirus 1,GenBank,complete,Italy,,,2003
KR270796,Alphacoronavirus 1,GenBank,complete,USA: Ohio,OH,Sus scrofa,2014-07-24
KR078299,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-06
KR078300,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-12
KM089829,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-11-10
KP728470,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-03-05
KP765609,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-07
KP688354,Porcine epidemic diarrhea virus,GenBank,complete,USA: HI,HI,Sus scrofa,2014-11-13
LC022792,Porcine epidemic diarrhea virus,GenBank,complete,Japan: Tottori,,Sus scrofa,2014-10
KR610991,Porcine epidemic diarrhea virus,GenBank,complete,Thailand,,Sus scrofa,2014-10-10
KR610992,Porcine epidemic diarrhea virus,GenBank,complete,Thailand,,Sus scrofa,2014-10-10
KR610993,Porcine epidemic diarrhea virus,GenBank,complete,Thailand,,Sus scrofa,2014-07-15
KR610994,Porcine epidemic diarrhea virus,GenBank,complete,Thailand,,Sus scrofa,2014-07-15
KR011756,Porcine epidemic diarrhea virus,GenBank,complete,France,,Sus scrofa,2014-12-01
KP981644,Alphacoronavirus 1,GenBank,complete,Italy,,Canis lupus familiaris,2005
KM609203,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-03
KM609204,Porcine epidemic diarrhea virus,GenBank,complete,China: JiangXi,,Sus scrofa,2011-06
KM609205,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,
KM609206,Porcine epidemic diarrhea virus,GenBank,complete,China: JiangSu,,Sus scrofa,2012-01
KM609207,Porcine epidemic diarrhea virus,GenBank,complete,China: ZheJiang,,Sus scrofa,2011-04
KM609208,Porcine epidemic diarrhea virus,GenBank,complete,China: ChongQing,,Sus scrofa,2012-03
KM609209,Porcine epidemic diarrhea virus,GenBank,complete,China: JiangSu,,Sus scrofa,2013-03
KM609210,Porcine epidemic diarrhea virus,GenBank,complete,China: ShanDong,,Sus scrofa,2014-01
KM609211,Porcine epidemic diarrhea virus,GenBank,complete,China: ShanDong,,Sus scrofa,2014-01
KM609212,Porcine epidemic diarrhea virus,GenBank,complete,China: JiangSu,,Sus scrofa,2014-03
KM609213,Porcine epidemic diarrhea virus,GenBank,complete,China: ZheJiang,,Sus scrofa,2014-03
LM645057,Porcine epidemic diarrhea virus,GenBank,complete,Germany:Baden-Wuerttemberg,,,
LM645058,Porcine epidemic diarrhea virus,GenBank,complete,Germany:Baden-Wuerttemberg,,,
KF760557,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-03
KM242131,Porcine epidemic diarrhea virus,GenBank,complete,China,,,2014-03
KM392224,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-06
KM392225,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-06
KM392226,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-11
KM392227,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-11
KM392228,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-12
KM392229,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-12
KM392230,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-12
KM392231,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-12
KM392232,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-12
KJ184549,Porcine epidemic diarrhea virus,GenBank,complete,USA: Kansas,KS,Sus scrofa,2013
KM052365,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-05-15
KM077139,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,,2014-01-22
KJ960178,Porcine epidemic diarrhea virus,GenBank,complete,Viet Nam,,Sus scrofa,2013
KJ960179,Porcine epidemic diarrhea virus,GenBank,complete,Viet Nam,,Sus scrofa,2013
KJ960180,Porcine epidemic diarrhea virus,GenBank,complete,Viet Nam,,Sus scrofa,2013
KJ645635,Porcine epidemic diarrhea virus,GenBank,complete,USA: Indiana,IN,Sus scrofa,2013-06-08
KJ645636,Porcine epidemic diarrhea virus,GenBank,complete,USA: Iowa,IA,Sus scrofa,2013-07-14
KJ645637,Porcine epidemic diarrhea virus,GenBank,complete,USA: Kansas,KS,Sus scrofa,2013-07-15
KJ645638,Porcine epidemic diarrhea virus,GenBank,complete,USA: Colorado,CO,Sus scrofa,2013-07-22
KJ645639,Porcine epidemic diarrhea virus,GenBank,complete,USA: Texas,TX,Sus scrofa,2013-07-22
KJ645640,Porcine epidemic diarrhea virus,GenBank,complete,USA: Oklahoma,OK,Sus scrofa,2013-07-24
KJ645641,Porcine epidemic diarrhea virus,GenBank,complete,USA: Indiana,IN,Sus scrofa,2013-08-21
KJ645642,Porcine epidemic diarrhea virus,GenBank,complete,USA: Oklahoma,OK,Sus scrofa,2013-08-26
KJ645643,Porcine epidemic diarrhea virus,GenBank,complete,USA: Kansas,KS,Sus scrofa,2013-09-01
KJ645644,Porcine epidemic diarrhea virus,GenBank,complete,USA: Oklahoma,OK,Sus scrofa,2013-09-07
KJ645645,Porcine epidemic diarrhea virus,GenBank,complete,USA: Texas,TX,Sus scrofa,2013-09-28
KJ645646,Porcine epidemic diarrhea virus,GenBank,complete,USA: NorthCarolina,NC,Sus scrofa,2013-10-05
KJ645647,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-10-14
KJ645648,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-10-20
KJ645649,Porcine epidemic diarrhea virus,GenBank,complete,USA: Iowa,IA,Sus scrofa,2013-10-20
KJ645650,Porcine epidemic diarrhea virus,GenBank,complete,USA: Kansas,KS,Sus scrofa,2013-10-23
KJ645651,Porcine epidemic diarrhea virus,GenBank,complete,USA: Colorado,CO,Sus scrofa,2013-10-23
KJ645652,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-11-02
KJ645653,Porcine epidemic diarrhea virus,GenBank,complete,USA: Wisconsin,WI,Sus scrofa,2013-11-03
KJ645654,Porcine epidemic diarrhea virus,GenBank,complete,USA: Tennesse,TN,Sus scrofa,2013-11-04
KJ645655,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-11-05
KJ645656,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-11-11
KJ645657,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2013-11-12
KJ645658,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-11-18
KJ645659,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2013-11-19
KJ645660,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-11-19
KJ645661,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-11-20
KJ645662,Porcine epidemic diarrhea virus,GenBank,complete,USA: NorthCarolina,NC,Sus scrofa,2013-11-23
KJ645663,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-11-23
KJ645664,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2013-11-24
KJ645665,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2013-11-24
KJ645666,Porcine epidemic diarrhea virus,GenBank,complete,USA: Iowa,IA,Sus scrofa,2013-11-24
KJ645667,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-11-28
KJ645668,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-11-25
KJ645669,Porcine epidemic diarrhea virus,GenBank,complete,USA: Wisconsin,WI,Sus scrofa,2013-11-27
KJ645670,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2013-11-27
KJ645671,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-11-30
KJ645672,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-11-28
KJ645673,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-11-28
KJ645674,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-11-30
KJ645675,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2013-12-03
KJ645676,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-12-02
KJ645677,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-12-02
KJ645678,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-12-04
KJ645679,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-12-07
KJ645680,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2013-12-04
KJ645681,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-12-04
KJ645682,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-12-04
KJ645683,Porcine epidemic diarrhea virus,GenBank,complete,USA: NorthCarolina,NC,Sus scrofa,2013-12-08
KJ645684,Porcine epidemic diarrhea virus,GenBank,complete,USA: Missouri,MO,Sus scrofa,2013-12-11
KJ645685,Porcine epidemic diarrhea virus,GenBank,complete,USA: Missouri,MO,Sus scrofa,2013-12-11
KJ645686,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-12-10
KJ645687,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-12-10
KJ645688,Porcine epidemic diarrhea virus,GenBank,complete,USA: Iowa,IA,Sus scrofa,2013-12-11
KJ645689,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2013-12-11
KJ645690,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2013-12-11
KJ645691,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-12-14
KJ645692,Porcine epidemic diarrhea virus,GenBank,complete,USA: Missouri,MO,Sus scrofa,2013-12-15
KJ645693,Porcine epidemic diarrhea virus,GenBank,complete,USA: Missouri,MO,Sus scrofa,2013-12-15
KJ645694,Porcine epidemic diarrhea virus,GenBank,complete,USA: Iowa,IA,Sus scrofa,2013-12-15
KJ645695,Porcine epidemic diarrhea virus,GenBank,complete,USA: Iowa,IA,Sus scrofa,2013-12-29
KJ645696,Porcine epidemic diarrhea virus,GenBank,complete,USA: Iowa,IA,Sus scrofa,2013-12-29
KJ645697,Porcine epidemic diarrhea virus,GenBank,complete,USA: Texas,TX,Sus scrofa,2013-11-12
KJ645698,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2014-01-01
KJ645699,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2013-12-15
KJ645700,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2014-01-22
KJ645701,Porcine epidemic diarrhea virus,GenBank,complete,USA: Kansas,KS,Sus scrofa,2014-01-27
KJ645702,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2014-01-29
KJ645703,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-02-02
KJ645704,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-06-26
KJ645705,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-11-18
KJ645706,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-11-25
KJ645707,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2013-12-03
KJ645708,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2013-11-03
KJ158152,Porcine epidemic diarrhea virus,GenBank,complete,China: Anhui Province,,,2011-10-20
KJ584361,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2013-06-14
KF761675,Porcine epidemic diarrhea virus,GenBank,complete,China,,,2013-09-20
KJ623926,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2014
KJ196348,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-02-05
KJ408801,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2014-01-23
KJ399978,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2014-01-15
KF452322,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-04-29
KF452323,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-05-07
KF530104,Human coronavirus NL63,GenBank,complete,"USA: Nashville, TN",TN,Homo sapiens,1990-04-26
KF530105,Human coronavirus NL63,GenBank,complete,"USA: Nashville, TN",TN,Homo sapiens,2001-02-23
KF530106,Human coronavirus NL63,GenBank,complete,"USA: Nashville, TN",TN,Homo sapiens,1987-12-16
KF530107,Human coronavirus NL63,GenBank,complete,"USA: Nashville, TN",TN,Homo sapiens,1991-01-24
KF530108,Human coronavirus NL63,GenBank,complete,"USA: Nashville, TN",TN,Homo sapiens,1989-01-05
KF530109,Human coronavirus NL63,GenBank,complete,"USA: Nashville, TN",TN,Homo sapiens,1990-03-21
KF530110,Human coronavirus NL63,GenBank,complete,"USA: Nashville, TN",TN,Homo sapiens,1983-08-16
KF530111,Human coronavirus NL63,GenBank,complete,"USA: Nashville, TN",TN,Homo sapiens,1990-01-05
KF530112,Human coronavirus NL63,GenBank,complete,"USA: Nashville, TN",TN,Homo sapiens,2001-11-21
KF530113,Human coronavirus NL63,GenBank,complete,"USA: Nashville, TN",TN,Homo sapiens,1990-05-29
KF530114,Human coronavirus NL63,GenBank,complete,"USA: Nashville, TN",TN,Homo sapiens,1989-01-03
KF273109,Alphacoronavirus 1,GenBank,complete,China,,Sus scrofa,2011-09-01
KF530123,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Felis catus,2010-08-17
KF430219,Bat coronavirus CDPHE15,GenBank,complete,"USA: Boulder County, CO",CO,Myotis lucifugus,2006-08-07
KF514430,Human coronavirus 229E,GenBank,complete,"USA: Nashville, TN",TN,Homo sapiens,1993-03-18
KF514432,Human coronavirus 229E,GenBank,complete,"USA: Nashville, TN",TN,Homo sapiens,1993-02-22
KF514433,Human coronavirus 229E,GenBank,complete,"USA: Nashville, TN",TN,Homo sapiens,1993-03-11
KF384500,Porcine epidemic diarrhea virus,GenBank,complete,China,,,2012-03
KF272920,Porcine epidemic diarrhea virus,GenBank,complete,USA: Colorado,CO,Sus scrofa,2013-05-10
KC189944,Porcine epidemic diarrhea virus,GenBank,complete,,,Sus scrofa,
